match_method,match_score,gr_shelf,gr_title,gr_author,gr_isbn,gr_isbn13,gr_my_rating,gr_publisher,gr_binding,gr_pages,gr_year_published,gr_original_year,gr_date_read,gr_date_added,gr_bookshelves,gr_my_review,gr_read_count,gr_book_id,feira_titulo,feira_subtitulo,feira_autor,feira_isbn,feira_chancela,feira_participante,feira_stand,feira_pvp,feira_pvp_feira,feira_pvp_livro_do_dia,feira_livro_do_dia_datas,feira_cover_jpg,feira_cover_webp
fuzzy,100.0,to-read,Tudo São Histórias de Amor,Dulce Maria Cardoso,9896711984,9789896711986,0,Edições Tinta-da-China,Hardcover,200,2014,2014,,2024/01/04,to-read,,0,21435166,Tudo São Histórias de Amor,,Dulce Maria Cardoso,9789896714963,Tinta-da-china,TINTA-DA-CHINA,E18,16.90,13.50,10.14,2026-06-12,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789896714963.jpg,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789896714963.webp
fuzzy,75.7,to-read,"The Midnight Library (The Midnight World, #1)",Matt Haig,0525559477,9780525559474,0,Viking,Hardcover,288,2020,2020,,2023/12/27,to-read,,0,52578297,MIDNIGHT LIBRARY THE  HAIG MATT,,MATT HAIG,9781786892737,CANONGATE BOOKS,EL CORTE INGLÉS,B02,14.75,11.80,8.85,2026-05-29,,
fuzzy,100.0,to-read,To Kill a Mockingbird,Harper Lee,0060935464,9780060935467,0,Harper Perennial Modern Classics ,Paperback,323,2006,1960,,2023/12/24,to-read,,0,2657,TO KILL A MOCKINGBIRD,,HARPER LEE,9780099549482,RANDOM HOUSE UK,EL CORTE INGLÉS,B02,14.03,11.22,8.42,2026-06-06,,
fuzzy,100.0,read,Dom Casmurro,Machado de Assis,0850515033,9780850515039,3,Luso-Brazilian Books,Paperback,176,2005,1899,2023/10/28,2023/02/26,read,,1,82888,DOM CASMURRO,,Machado de Assis,9789897022128,Guerra e Paz,GUERRA E PAZ EDITORES,B29,14.00,9.80,8.40,"2026-05-27, 2026-05-31, 2026-06-04, 2026-06-06, 2026-06-10, 2026-06-13, 2026-06-14",https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789897022128.jpg,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789897022128.webp
fuzzy,73.2,read,Normal People,Sally Rooney,1984822179,9781984822178,0,Crown,Hardcover,273,2019,2018,2022/07/30,2022/01/15,read,,1,41057294,PESSOAS NORMAIS,,"Rooney, Sally",9789896419363,Relógio D’Água Editores,RELÓGIO D&#8217;ÁGUA EDITORES,A73,20.00,16.00,12.00,"2026-05-29, 2026-06-03, 2026-06-12",https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789896419363.jpg,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789896419363.webp
possible_match,36.4,read,The Handmaid's Tale,Margaret Atwood,1328879941,9781328879943,5,Houghton Mifflin Harcourt,Hardcover,320,2017,1985,2026/02/24,2026/02/02,read,,1,34454589,Os Testamentos,,Margaret Atwood,9789722539289,Bertrand Editora,BERTRAND EDITORA,A14,18.80,13.16,11.28,"2026-05-28, 2026-06-02, 2026-06-07, 2026-06-12",https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789722539289.jpg,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789722539289.webp
author_match,50.0,to-read,Educated,Tara Westover,0399590501,9780399590504,0,Random House,Hardcover,352,2018,2018,,2025/04/30,to-read,,0,35133922,Uma Educação,,Tara Westover,9789722533799,Bertrand Editora,BERTRAND EDITORA,A12,18.80,13.16,11.28,"2026-05-28, 2026-06-02, 2026-06-07, 2026-06-12",https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789722533799.jpg,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789722533799.webp
possible_match,33.3,to-read,Melhor não contar,Tatiana Salem Levy,6556926027,9786556926025,0,Todavia,Kindle Edition,243,2024,2024,,2025/01/16,to-read,,0,212620353,Vista Chinesa,,Tatiana Salem Levy,9789895646067,ELSINORE,PENGUIN RANDOM HOUSE,H31,15.45,12.36,9.27,"2026-06-06, 2026-06-14",https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789895646067.jpg,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789895646067.webp
possible_match,30.6,read,Invisible Women: Data Bias in a World Designed for Men,Caroline Criado Pérez,1419729071,9781419729072,4,Abrams Press,Hardcover,448,2019,2019,2024/07/24,2024/05/21,read,,1,41104077,MULHERES INVISÍVEIS,,"Criado-Perez, Caroline",9789897830235,Relógio D’Água Editores,RELÓGIO D&#8217;ÁGUA EDITORES,A70,22.00,17.50,13.00,"2026-05-29, 2026-06-04, 2026-06-10",https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789897830235.jpg,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789897830235.webp
author_match,57.1,read,Almond,Sohn Won-Pyung,0062961373,9780062961372,3,HarperVia,Hardcover,272,2020,2017,2024/08/15,2024/07/28,read,,1,52219386,Amêndoas,,Sohn Won-pyung,9789722373623,Presença,"EDITORIAL PRESENÇA, S.A.",A39,16.90,13.55,10.15,"2026-06-01, 2026-06-04, 2026-06-13",https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789722373623.jpg,https://feiradolivrodelisboa.pt/_fll/wp-content/uploads/book-covers/9789722373623.webp
